LMODE NFREQ       PERIOD(S)     FREQUENCY(Hz)           C(KM/S)
    0     1    2.000000000       0.5000000000        1.222631066    
    0     2    2.001955034       0.4995117188        1.222948112    
    0     3    2.003913894       0.4990234375        1.223266199    
    0     4    2.005876592       0.4985351562        1.223585287    
    0     5    2.007843137       0.4980468750        1.223905394    
    0     6    2.009813543       0.4975585938        1.224226522    
    0     7    2.011787819       0.4970703125        1.224548677    
    0     8    2.013765978       0.4965820312        1.224871863    
    0     9    2.015748031       0.4960937500        1.225196084    
    0    10    2.017733990       0.4956054688        1.225521344    
    0    11    2.019723866       0.4951171875        1.225847649    
    0    12    2.021717670       0.4946289062        1.226175002    
    0    13    2.023715415       0.4941406250        1.226503408    
    0    14    2.025717112       0.4936523438        1.226832871    
    0    15    2.027722772       0.4931640625        1.227163397    
    0    16    2.029732408       0.4926757812        1.227494989    
    0    17    2.031746032       0.4921875000        1.227827652    
    0    18    2.033763654       0.4916992188        1.228161391    
    0    19    2.035785288       0.4912109375        1.228496211    
    0    20    2.037810945       0.4907226562        1.228832115    
    0    21    2.039840637       0.4902343750        1.229169109    
    0    22    2.041874377       0.4897460938        1.229507197    
    0    23    2.043912176       0.4892578125        1.229846385    
    0    24    2.045954046       0.4887695312        1.230186676    
    0    25    2.048000000       0.4882812500        1.230528076    
    0    26    2.050050050       0.4877929688        1.230870589    
    0    27    2.052104208       0.4873046875        1.231214220    
    0    28    2.054162487       0.4868164062        1.231558975    
    0    29    2.056224900       0.4863281250        1.231904857    
    0    30    2.058291457       0.4858398438        1.232251872    
    0    31    2.060362173       0.4853515625        1.232600025    
    0    32    2.062437059       0.4848632812        1.232949321    
    0    33    2.064516129       0.4843750000        1.233299764    
    0    34    2.066599395       0.4838867188        1.233651360    
    0    35    2.068686869       0.4833984375        1.234004114    
    0    36    2.070778564       0.4829101562        1.234358030    
    0    37    2.072874494       0.4824218750        1.234713114    
    0    38    2.074974671       0.4819335938        1.235069371    
    0    39    2.077079108       0.4814453125        1.235426807    
    0    40    2.079187817       0.4809570312        1.235785425    
    0    41    2.081300813       0.4804687500        1.236145231    
    0    42    2.083418108       0.4799804688        1.236506232    
