net1,stn1,net2,stn2,dist_km,technique,converged,best_delta_km_s,bad_quality_fraction,n_candidate_crossings,n_accepted_picks,freq_coverage_fraction,mean_amp_ratio,n_templates_converged,n_templates_scanned,matlab_coh_num,matlab_rel_l2_error,runtime_s,error
AF,SKRH,XV,AMPY,208.63791795185753,FastMspec,False,,0.9079754601226994,163,23,0.0,inf,0,33,1605.0,0.02010667413432961,207.3943853378296,
AF,SKRH,XV,AMPY,208.63791795185753,Mspec,True,0.30000000000000093,0.9343065693430657,137,136,0.4675324675324675,inf,13,33,,,723.139758348465,
AF,SKRH,XV,AMPY,208.63791795185753,MspecBestK,True,0.400000000000001,0.7309941520467836,171,230,0.27848101265822783,5.226122608745869,7,33,,,214.34542107582092,
AF,SKRH,XV,AMPY,208.63791795185753,single-taper,False,,0.7733727810650888,1690,0,0.0,,0,33,1605.0,2.350961238781268e-09,242.54803490638733,
AF,SKRH,XV,ANLA,753.0570984352158,FastMspec,False,,0.9156976744186046,344,25,0.0,2.28040737772279,0,33,1605.0,0.05214918316930965,271.53413224220276,
AF,SKRH,XV,ANLA,753.0570984352158,Mspec,False,,0.980544747081712,257,3,0.0,3.557591006215089,0,33,,,731.9453094005585,
AF,SKRH,XV,ANLA,753.0570984352158,MspecBestK,False,,0.931924882629108,426,12,0.0,1.7904732409559392,0,33,,,192.3912205696106,
AF,SKRH,XV,ANLA,753.0570984352158,single-taper,False,,0.623699683401176,2211,5,0.0,1.493155411768735,0,33,1605.0,3.4591114455501832e-09,517.8736727237701,
AF,SKRH,XV,ANTS,947.5732416175398,FastMspec,False,,0.9278350515463918,388,4,0.0,3.42372042874942,0,33,1605.0,0.05557324201979169,899.4247453212738,
AF,SKRH,XV,ANTS,947.5732416175398,Mspec,False,,0.9798657718120806,149,1,0.0,inf,0,33,,,2461.5333178043365,
AF,SKRH,XV,ANTS,947.5732416175398,MspecBestK,False,,0.9385964912280702,456,17,0.0,2.1226283715990344,0,33,,,886.4135227203369,
